date,store_nbr,DAIRY_sales,BEVERAGES_sales,BREAD/BAKERY_sales,POULTRY_sales,PREPARED FOODS_sales,SEAFOOD_sales,month,year,season,week_day,holiday,city,state,type,cluster,transactions
8/1/2017,46,1627,6643,915,832.667,152.358,50.942,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,A,14,3458
8/1/2017,47,2269,8636,1133.479,1233.039,222.033,74.898,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,A,14,3846
8/1/2017,48,1573,6008,789,1101.088,74.145004,14.750999,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,A,14,3003
8/1/2017,49,2449,7151,1207.288,1193.662,232.718,81.519,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,A,11,3034
8/1/2017,5,548,2395,379.656,216.013,50.877,3,8,2017,Winter,Tuesday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1365
8/1/2017,50,1175,5445,617.821,470.925,81.657,18.341,8,2017,Winter,Tuesday,FALSE,Ambato,Tungurahua,A,14,2679
8/1/2017,51,1458,4435,901.445,663.02,107.183,58.262,8,2017,Winter,Tuesday,FALSE,Guayaquil,Guayas,A,17,1685
8/1/2017,52,1089,5390,804.744,469.65298,128.526,7.098,8,2017,Winter,Tuesday,FALSE,Manta,Manabi,A,11,2147
8/1/2017,53,523,2903,485.902,194.922,48.958,6,8,2017,Winter,Tuesday,FALSE,Manta,Manabi,D,13,1074
8/1/2017,54,271,3320,330,72.303,114,3,8,2017,Winter,Tuesday,FALSE,El Carmen,Manabi,C,3,841
8/1/2017,6,976,3848,548.274,540.239,81.765,32.584,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,13,1616
8/1/2017,7,1318,4038,645.288,725.891,108.015,40.718998,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,8,1794
8/1/2017,8,1356,4443,772.607,540.774,110.257996,30.982,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,D,8,2717
8/1/2017,9,947,4817,643,570.196,50.462997,19.316,8,2017,Winter,Tuesday,FALSE,Quito,Pichincha,B,6,2271
8/2/2017,1,941,2645,428.186,375.62302,63.057,24.878,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,13,1892
8/2/2017,10,416,1250,103,162.754,36,2,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,C,15,871
8/2/2017,11,820,5351,625,560.4,116.469,18,8,2017,Winter,Wednesday,FALSE,Cayambe,Pichincha,B,6,2526
8/2/2017,12,481,1624,201,139.067,30,4,8,2017,Winter,Wednesday,FALSE,Latacunga,Cotopaxi,C,15,1227
8/2/2017,13,391,1908,123,64.237,30,1,8,2017,Winter,Wednesday,FALSE,Latacunga,Cotopaxi,C,15,902
8/2/2017,14,476,2743,198,100.704,114,9,8,2017,Winter,Wednesday,FALSE,Riobamba,Chimborazo,C,7,1401
8/2/2017,15,407,2132,152,133.035,47,3,8,2017,Winter,Wednesday,FALSE,Ibarra,Imbabura,C,15,1457
8/2/2017,16,276,1538,175,82.814,29,4,8,2017,Winter,Wednesday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,C,3,729
8/2/2017,17,1150,2769,313,369.912,42,16,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,C,12,1393
8/2/2017,18,694,2270,495,184.653,63.079002,14.466,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,B,16,1278
8/2/2017,19,372,2325,172,128.058,16,2,8,2017,Winter,Wednesday,FALSE,Guaranda,Bolivar,C,15,1130
8/2/2017,2,870,3394,656,467.46,146.6,37.174,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,13,1952
8/2/2017,20,1041,3494,473,279.041,59.7,12.688,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,B,6,1625
8/2/2017,21,746,3585,411,199.736,157.27,4,8,2017,Winter,Wednesday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1089
8/2/2017,22,353,1800,131,131.238,13,0,8,2017,Winter,Wednesday,FALSE,Puyo,Pastaza,C,7,782
8/2/2017,23,474,1627,300.932,322.13202,28.687,13,8,2017,Winter,Wednesday,FALSE,Ambato,Tungurahua,D,9,1029
8/2/2017,24,1450,3743,783.991,550.639,99.502,25.27,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,D,1,2393
8/2/2017,25,565,1963,400.485,191.29001,47.066,6,8,2017,Winter,Wednesday,FALSE,Salinas,Santa Elena,D,1,982
8/2/2017,26,310,1562,233,146.345,32,6,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,D,10,648
8/2/2017,27,1062,3171,733.344,456.76,81.43,26.873,8,2017,Winter,Wednesday,FALSE,Daule,Guayas,D,1,1673
8/2/2017,28,917,3522,670,187.927,70.736,4,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,E,10,1227
8/2/2017,29,802,3142,607,181.979,57.636,10,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,E,10,1120
8/2/2017,3,2297,8217,1296.196,1121.705,210.95999,79.145,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,8,3275
8/2/2017,30,397,1772,152,100.234,17,4,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,C,3,775
8/2/2017,31,824,3297,532,123.106,89.888,6,8,2017,Winter,Wednesday,FALSE,Babahoyo,Los Rios,B,10,1418
8/2/2017,32,236,1397,110,48.086,13,2,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,C,3,612
8/2/2017,33,607,2010,226,303.107,33,0,8,2017,Winter,Wednesday,FALSE,Quevedo,Los Rios,C,3,912
8/2/2017,34,760,2236,696,173.963,24,6,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,B,6,2034
8/2/2017,35,213,1205,91,36.524,15,5,8,2017,Winter,Wednesday,FALSE,Playas,Guayas,C,3,694
8/2/2017,36,727,4503,499,111.144,62.088,0,8,2017,Winter,Wednesday,FALSE,Libertad,Guayas,E,10,1145
8/2/2017,37,995,3236,562.316,261.85,87.438,11.250999,8,2017,Winter,Wednesday,FALSE,Cuenca,Azuay,D,2,1690
8/2/2017,38,801,6925,565.259,154.509,62.196,16.675,8,2017,Winter,Wednesday,FALSE,Loja,Loja,D,4,1719
8/2/2017,39,700,2993,678,205.228,71.064,13,8,2017,Winter,Wednesday,FALSE,Cuenca,Azuay,B,6,1375
8/2/2017,4,716,2612,401.101,363.449,64.162,24.423,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,9,1414
8/2/2017,40,1032,5640,467,185.535,76,0,8,2017,Winter,Wednesday,FALSE,Machala,El Oro,C,3,1476
8/2/2017,41,769,4794,519.934,226.239,51.469,9.662,8,2017,Winter,Wednesday,FALSE,Machala,El Oro,D,4,1291
8/2/2017,42,815,2957,476.365,233.302,46.672,14.59,8,2017,Winter,Wednesday,FALSE,Cuenca,Azuay,D,2,1122
8/2/2017,43,816,5068,616,302.668,107.699,0,8,2017,Winter,Wednesday,FALSE,Esmeraldas,Esmeraldas,E,10,1499
8/2/2017,44,2663,9461,1801.5,1291.414,354.222,90.137,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,A,5,4643
8/2/2017,45,2286,10317,1281.645,1298.3309,283.07,103.097,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,A,11,3851
8/2/2017,46,1484,5959,968,834.703,138.535,47.622,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,A,14,3489
8/2/2017,47,2256,9263,1191.601,1132.237,190.718,61.887,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,A,14,3936
8/2/2017,48,1398,5101,779,908.718,68.805,27.075,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,A,14,3065
8/2/2017,49,2335,7150,1132.423,1014.602,259.268,78.918,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,A,11,3169
8/2/2017,5,590,2920,365.026,225.189,51.819,17.417,8,2017,Winter,Wednesday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1411
8/2/2017,50,1149,5042,653.981,437.753,83.063,28.378,8,2017,Winter,Wednesday,FALSE,Ambato,Tungurahua,A,14,2763
8/2/2017,51,1822,5040,958.763,804.363,127.81,43.611,8,2017,Winter,Wednesday,FALSE,Guayaquil,Guayas,A,17,1810
8/2/2017,52,1346,5237,932.229,567.573,144.462,10.962,8,2017,Winter,Wednesday,FALSE,Manta,Manabi,A,11,2499
8/2/2017,53,669,2566,533.011,204.245,109.555,1,8,2017,Winter,Wednesday,FALSE,Manta,Manabi,D,13,1201
8/2/2017,54,174,3080,231,32.556,69,3,8,2017,Winter,Wednesday,FALSE,El Carmen,Manabi,C,3,747
8/2/2017,6,979,3706,634.485,495.27798,91.522,47.934002,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,13,1868
8/2/2017,7,1562,4686,692.179,687.367,142.694,49.229,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,8,1849
8/2/2017,8,1580,4855,889.453,618.52,176.196,53.205,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,D,8,2932
8/2/2017,9,985,3763,491,455.65298,89.135,24.689,8,2017,Winter,Wednesday,FALSE,Quito,Pichincha,B,6,2013
8/3/2017,1,529,2037,282.81,233.689,57.154,33.486,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,13,1726
8/3/2017,10,336,1569,101,159.75,41,0,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,C,15,916
8/3/2017,11,742,4885,681,497.76498,126.742,8,8,2017,Winter,Thursday,FALSE,Cayambe,Pichincha,B,6,2523
8/3/2017,12,408,1554,180,161.79,45,3,8,2017,Winter,Thursday,FALSE,Latacunga,Cotopaxi,C,15,1219
8/3/2017,13,207,1317,81,94.596,20,1,8,2017,Winter,Thursday,FALSE,Latacunga,Cotopaxi,C,15,888
8/3/2017,14,415,2218,137,79.098,129,5,8,2017,Winter,Thursday,FALSE,Riobamba,Chimborazo,C,7,1299
8/3/2017,15,342,1993,200,112.58,55,6,8,2017,Winter,Thursday,FALSE,Ibarra,Imbabura,C,15,1381
8/3/2017,16,251,1223,141,89.392,34,1,8,2017,Winter,Thursday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,C,3,687
8/3/2017,17,631,2940,272,310.82,60,15,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,C,12,1384
8/3/2017,18,553,2074,534,146.305,56.036,10.464,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,B,16,1242
8/3/2017,19,305,2265,134,210.899,28,4,8,2017,Winter,Thursday,FALSE,Guaranda,Bolivar,C,15,1010
8/3/2017,2,686,2304,609,399.105,101.975,33.546,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,13,1712
8/3/2017,20,697,4096,417,333.97202,42.462997,11.63,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,B,6,1639
8/3/2017,21,449,2411,360,134.117,200.352,6,8,2017,Winter,Thursday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,B,6,993
8/3/2017,22,313,1900,114,89.837,35,1,8,2017,Winter,Thursday,FALSE,Puyo,Pastaza,C,7,783
8/3/2017,23,466,1241,236.91699,313.274,29.403,9.531,8,2017,Winter,Thursday,FALSE,Ambato,Tungurahua,D,9,964
8/3/2017,24,1175,3159,619.154,461.978,77.691,20.015,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,D,1,2107
8/3/2017,25,466,1829,268.882,145.409,34.654,2,8,2017,Winter,Thursday,FALSE,Salinas,Santa Elena,D,1,869
8/3/2017,26,133,515,157,100.149,12,6,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,D,10,475
8/3/2017,27,869,2226,499.004,286.078,58.592,6.822,8,2017,Winter,Thursday,FALSE,Daule,Guayas,D,1,1429
8/3/2017,28,714,3029,574,233.813,82.135,1,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,E,10,1197
8/3/2017,29,603,3537,593,201.873,40.591,9,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,E,10,1139
8/3/2017,3,1740,7267,1022.235,1034.553,183.063,78.986,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,8,2962
8/3/2017,30,233,1394,181,121.319,28,4,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,C,3,759
8/3/2017,31,565,2784,630,139.212,53,6,8,2017,Winter,Thursday,FALSE,Babahoyo,Los Rios,B,10,1410
8/3/2017,32,148,965,174,23.639,9,2,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,C,3,570
8/3/2017,33,321,1607,180,159.626,3,0,8,2017,Winter,Thursday,FALSE,Quevedo,Los Rios,C,3,815
8/3/2017,34,601,2591,586,141.156,17,2,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,B,6,1946
8/3/2017,35,170,1576,74,71.231,13,0,8,2017,Winter,Thursday,FALSE,Playas,Guayas,C,3,762
8/3/2017,36,504,3053,410,150.96,57.952,0,8,2017,Winter,Thursday,FALSE,Libertad,Guayas,E,10,1090
8/3/2017,37,749,2417,439.013,218.403,54.193,10.077,8,2017,Winter,Thursday,FALSE,Cuenca,Azuay,D,2,1454
8/3/2017,38,601,1680,343.645,100.334,74.982,24.725,8,2017,Winter,Thursday,FALSE,Loja,Loja,D,4,1361
8/3/2017,39,631,3191,607,228.09999,49.069,15,8,2017,Winter,Thursday,FALSE,Cuenca,Azuay,B,6,1334
8/3/2017,4,635,1904,297.812,267.649,24.51,17.887,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,9,1287
8/3/2017,40,507,3741,380,184.813,50,2,8,2017,Winter,Thursday,FALSE,Machala,El Oro,C,3,1300
8/3/2017,41,635,1518,385.244,163.511,51.94,1,8,2017,Winter,Thursday,FALSE,Machala,El Oro,D,4,1088
8/3/2017,42,746,1904,397.6,226.117,48.639,13.146,8,2017,Winter,Thursday,FALSE,Cuenca,Azuay,D,2,1101
8/3/2017,43,527,3784,447,204.892,150.172,0,8,2017,Winter,Thursday,FALSE,Esmeraldas,Esmeraldas,E,10,1389
8/3/2017,44,1966,7396,1349.882,926.074,326.372,66.092,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,A,5,4169
8/3/2017,45,1822,7093,981.389,981.144,218.06,67.506,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,A,11,3598
8/3/2017,46,1276,4761,775,727.921,122.129,53.806,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,A,14,3162
8/3/2017,47,1811,6537,916.989,1129.765,197.427,61.252,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,A,14,3688
8/3/2017,48,1157,4010,805,697.95703,82.28,22.123,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,A,14,2844
8/3/2017,49,1541,4943,812.459,807.237,168.339,85.242004,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,A,11,2780
8/3/2017,5,459,1234,289.485,209.174,58.886,9.515,8,2017,Winter,Thursday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1227
8/3/2017,50,1037,3777,600.177,359.068,79.81,21.514,8,2017,Winter,Thursday,FALSE,Ambato,Tungurahua,A,14,2521
8/3/2017,51,1406,3425,703.78,538.654,115.261,49.651,8,2017,Winter,Thursday,FALSE,Guayaquil,Guayas,A,17,1499
8/3/2017,52,1019,3492,706.722,419.02,91.591,10.174,8,2017,Winter,Thursday,FALSE,Manta,Manabi,A,11,2045
8/3/2017,53,388,1535,459.628,118.303,21.709,2,8,2017,Winter,Thursday,FALSE,Manta,Manabi,D,13,1004
8/3/2017,54,191,2844,169,62.094,82,5,8,2017,Winter,Thursday,FALSE,El Carmen,Manabi,C,3,712
8/3/2017,6,800,2844,445.551,458.419,65.015,20.579,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,13,1639
8/3/2017,7,1046,3200,539.801,528.356,107.822,27.581001,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,8,1725
8/3/2017,8,1233,4073,749.665,466.613,112.907,30.152,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,D,8,2595
8/3/2017,9,782,3944,445,425.946,83.426,21.778,8,2017,Winter,Thursday,FALSE,Quito,Pichincha,B,6,2103
8/4/2017,1,767,2479,385.044,481.049,60.498,33.768,8,2017,Winter,Friday,FALSE,Quito,Pichincha,D,13,1847
8/4/2017,10,225,1658,99,130.927,25,0,8,2017,Winter,Friday,FALSE,Quito,Pichincha,C,15,900
8/4/2017,11,668,7066,829,557.268,84.72,6,8,2017,Winter,Friday,FALSE,Cayambe,Pichincha,B,6,2508
8/4/2017,12,266,1504,193,168.089,32,1,8,2017,Winter,Friday,FALSE,Latacunga,Cotopaxi,C,15,1131
8/4/2017,13,263,2059,103,90.097,28,5,8,2017,Winter,Friday,FALSE,Latacunga,Cotopaxi,C,15,901
8/4/2017,14,366,1516,171,65.162,81,7,8,2017,Winter,Friday,FALSE,Riobamba,Chimborazo,C,7,1196
8/4/2017,15,293,1743,139,127.638,46,4,8,2017,Winter,Friday,FALSE,Ibarra,Imbabura,C,15,1352
8/4/2017,16,220,2151,95,36.807,25,0,8,2017,Winter,Friday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,C,3,698
8/4/2017,17,540,2553,288,308.142,61,7,8,2017,Winter,Friday,FALSE,Quito,Pichincha,C,12,1359
8/4/2017,18,479,1686,458,203.257,57.951,11,8,2017,Winter,Friday,FALSE,Quito,Pichincha,B,16,1129
8/4/2017,19,301,2812,141,102.777,18,4,8,2017,Winter,Friday,FALSE,Guaranda,Bolivar,C,15,1050
8/4/2017,2,895,2785,664,667.52,91.213,47.119,8,2017,Winter,Friday,FALSE,Quito,Pichincha,D,13,1938
8/4/2017,20,604,4142,470,699.294,66.12,10.436,8,2017,Winter,Friday,FALSE,Quito,Pichincha,B,6,1524
8/4/2017,21,445,3541,333,138.531,169.814,3,8,2017,Winter,Friday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1097
8/4/2017,22,329,2213,228,122.82,36,1,8,2017,Winter,Friday,FALSE,Puyo,Pastaza,C,7,799
8/4/2017,23,492,1294,216.746,545.297,50.303,8.669,8,2017,Winter,Friday,FALSE,Ambato,Tungurahua,D,9,1022
8/4/2017,24,1386,3548,853.156,801.553,150.733,45.767,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,D,1,2439
8/4/2017,25,569,2130,452.325,308.922,57.714,7,8,2017,Winter,Friday,FALSE,Salinas,Santa Elena,D,1,1021
8/4/2017,26,221,713,252,273.061,30,1,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,D,10,604
8/4/2017,27,791,2399,493.67902,408.156,82.697,19.592,8,2017,Winter,Friday,FALSE,Daule,Guayas,D,1,1600
8/4/2017,28,639,3174,436,193.812,74.954,0,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,E,10,1113
8/4/2017,29,521,3058,511,227.813,60.436,4,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,E,10,1141
8/4/2017,3,2217,7967,1271.429,1586.1229,249.673,114.206,8,2017,Winter,Friday,FALSE,Quito,Pichincha,D,8,3412
8/4/2017,30,209,1079,142,105.261,19,6,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,C,3,649
8/4/2017,31,579,3073,560,141.195,60,10,8,2017,Winter,Friday,FALSE,Babahoyo,Los Rios,B,10,1270
8/4/2017,32,104,1002,91,48.968002,4,0,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,C,3,582
8/4/2017,33,295,1940,153,398.819,25,0,8,2017,Winter,Friday,FALSE,Quevedo,Los Rios,C,3,786
8/4/2017,34,615,2790,652,184.286,28,1,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,B,6,2286
8/4/2017,35,122,1383,98,68.788,16,0,8,2017,Winter,Friday,FALSE,Playas,Guayas,C,3,602
8/4/2017,36,503,4593,534,137.328,51.109,4,8,2017,Winter,Friday,FALSE,Libertad,Guayas,E,10,1068
8/4/2017,37,959,2773,482.07098,303.782,83.099,12.76,8,2017,Winter,Friday,FALSE,Cuenca,Azuay,D,2,1633
8/4/2017,38,832,1831,385.716,205.491,106.158005,12.097,8,2017,Winter,Friday,FALSE,Loja,Loja,D,4,1533
8/4/2017,39,646,3171,656,316.666,58.285,20,8,2017,Winter,Friday,FALSE,Cuenca,Azuay,B,6,1328
8/4/2017,4,751,3015,352.124,454.709,48.498,30.428001,8,2017,Winter,Friday,FALSE,Quito,Pichincha,D,9,1430
8/4/2017,40,513,8272,428,250.206,52,1,8,2017,Winter,Friday,FALSE,Machala,El Oro,C,3,1329
8/4/2017,41,643,1615,381.442,217.778,84.825,4.214,8,2017,Winter,Friday,FALSE,Machala,El Oro,D,4,1117
8/4/2017,42,850,2413,494.053,293.022,44.369,23.916,8,2017,Winter,Friday,FALSE,Cuenca,Azuay,D,2,1166
8/4/2017,43,568,7612,601,448.767,233.229,1,8,2017,Winter,Friday,FALSE,Esmeraldas,Esmeraldas,E,10,1479
8/4/2017,44,2331,8620,1662.026,1761.187,305.53,118.236,8,2017,Winter,Friday,FALSE,Quito,Pichincha,A,5,4515
8/4/2017,45,2298,8534,1383.043,1682.814,293.333,145.966,8,2017,Winter,Friday,FALSE,Quito,Pichincha,A,11,4132
8/4/2017,46,1415,5329,848,980.256,152.433,55.627,8,2017,Winter,Friday,FALSE,Quito,Pichincha,A,14,3350
8/4/2017,47,2051,8525,1414.113,1526.321,198.025,92.574,8,2017,Winter,Friday,FALSE,Quito,Pichincha,A,14,4010
8/4/2017,48,1190,4531,872,1297.631,65.885,29.79,8,2017,Winter,Friday,FALSE,Quito,Pichincha,A,14,2896
8/4/2017,49,2231,6842,1364.5859,1513.603,253.493,120.781006,8,2017,Winter,Friday,FALSE,Quito,Pichincha,A,11,3216
8/4/2017,5,491,1774,345.226,302.71,56.919,9.582,8,2017,Winter,Friday,FALSE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1289
8/4/2017,50,914,3698,665.158,473.289,76.126,33.956,8,2017,Winter,Friday,FALSE,Ambato,Tungurahua,A,14,2773
8/4/2017,51,1694,4522,894.953,3535.233,152.72,96.181,8,2017,Winter,Friday,FALSE,Guayaquil,Guayas,A,17,1885
8/4/2017,52,1280,4580,1028.229,661.928,180.553,7.708,8,2017,Winter,Friday,FALSE,Manta,Manabi,A,11,2442
